id	name	address	zip	city_hotel	cc1	ufi	class	currencycode	minrate	maxrate	preferred	nr_rooms	longitude	latitude	public_ranking	hotel_url	photo_url	desc_en	desc_fr	desc_es	desc_de	desc_nl	desc_it	desc_pt	desc_ja	desc_zh	desc_pl	city_unique	city_preferred	continent_id	
17712	See More Guest House	14 Montrose Avenue	5201	Bunkers Hill	za	-1225311	4.0	ZAR	350	750		7	27.922345	-32.996551	36651	http://www.booking.com/hotel/za/see-more-guest-house.html	http://aff.bstatic.com/images/hotel/org/116/1164234.jpg	Set in the midst of tropical gardens with rich birdlife, and with views of the Indian Ocean, See More Guest House is a haven of peace and quiet on the Eastern Cape coast.										east-london	East London	5	\

171214	Protea Hotel Umhlanga Ridge	Corner of Palm and Centenary Boulevards	4001	Umhlanga	za	-1294257	4.0	ZAR	985	1850		205	31.0840645	-29.7259097	74368	http://www.booking.com/hotel/za/protea-umhlanga-ridge.html	http://aff.bstatic.com/images/hotel/org/193/1935744.jpg	This hotel enjoys a secure location in Umhlanga's New Town Centre, overlooking the Chris Saunders Park. It is just a few minutes drive from the beach.  Protea Hotel Umhlanga Ridge combines modern amenities with traditional hospitality.										umhlanga-rocks	Umhlanga	5	\

15180	Ten Bompas Hotel	10 Bompas Road	2196	Johannesburg	za	-1240261	0.0	ZAR	3500	3500		10	28.0324636010053	-26.1312201203919	73755	http://www.booking.com/hotel/za/ten-bompas.html	http://aff.bstatic.com/images/hotel/org/676/676340.jpg	An all suite boutique hotel located close to the residential and commercial centres of Sandton and Rosebank. The hotel comprises only 10 suites each with lounge and fireplace, bedroom with king size bed opening on to a terrace or private garden.	L'hôtel se situe à proximité des quartiers résidentiels et commerçants de Sandton et de Rosebank. Il comprend 10 suites avec salon et cheminée, chambre avec lit king size donnant sur une terrasse ou un jardin privatif.	Este hotel boutique está situado cerca de la zona residencial y de los centros comerciales de Sandton y Rosebank. El hotel cuenta con solo 10 suites, que disponen de chimenea, dormitorio con cama doble con vistas a la terraza o al jardín privado.	Das Boutiquehotel Ten Bompas bietet Suiten in der Nähe der Geschäftszentren und Wohnviertel von Sandton und Rosebank.	Dit boetiekhotel met alleen maar suites ligt niet ver van de woonwijken en winkels van Sandton en Rosebank. Het hotel heeft slechts 10 suites, elk met lounge en open haard, slaapkamer met kingsize bed en toegang tot een terras of eigen tuin.	Quest'hotel, composto da suite boutique, è situato vicino ai centri residenziali e commerciali di Sandton e Rosebank.	Este boutique hotel só de suites fica perto dos centros residenciais e comerciais de Sandton e Rosebank.	Ten Bompas Hotelは、サントン（Sandton）とローズバンク（Rosebank）の住宅街と商業中心部の近くに立地する全室スイートのブティックホテルです。スイート10室のみをご用意しており、各スイートにはラウンジ、暖炉、テラスまたは専用庭園に続くベッドルーム（キングサイズベッド付き）が備わっています。併設のトレンディなレストランSidesでは館内の有名なセラーからのワインと共に豪華なお食事を召し上がれます。	这间精品酒店靠近Sandton 以及Rosebank两个住宅、商业区，为客人提供套房住宿。酒店内设有10间套房，每一间都带休息室和壁炉，寝室里有特大号床，跟露台或者私人花园相连接。我们时尚的餐厅Sample Sides供应丰盛的餐饮以及我们著名酒窖出品的葡萄酒。	Ten butikowy hotel znajduje się w pobliżu dzielnicy mieszkalnej i handlowej Sandton i Rosebank. Hotel dysponuje jedynie 10 apartamentami, każdy z salonem, kominkiem i sypialnią z łóżkiem typu kingsize, wychodzącą na taras lub prywatny ogród.	johannesburg	Johannesburg	5	\

15458	Protea Hotel Tyger Valley	Hendrik Verwoerd Drive	7530	Welgemoed, Cape Town	za	900040241	3.0	ZAR	510	1102		100	18.6010873317719	-33.8878915602876	67169	http://www.booking.com/hotel/za/protea-tyger-valley.html	http://aff.bstatic.com/images/hotel/org/930/930279.jpg	The Protea Tyger Valley is a well-positioned 3-star hotel offering great views of Table Mountain.				Protea Tyger Valley is een goed gelegen driesterrenhotel met een fantastisch uitzicht op de Tafelberg. Het hotel ligt op slechts 15 minuten rijden van het stadscentrum van Kaapstad de internationale luchthaven.				这间设备齐全的3星级酒店内能欣赏Table山的美景。酒店离开普敦市中心以及开普敦国际机场15分钟车程，离Tyger Valley 商务中心几分钟路程。  这里100间整洁的客房内有着齐全的设备，每一间房间都带现代化的浴室。房间内设有空调、茶水、咖啡机以及卫星电视等设施。每一间客房外都设有一个保安停车位。  酒店餐厅每天为您供应早餐及晚餐。客人可以于早晨享用全份英式早餐或者欧陆早餐，并于夜间享用单点美食。酒店内设有一家酒吧以及一个带壁炉的休息室。 ...		tyger-valley	Tyger Valley	5	\

46109	Aziza Guest House	5A Wright Street, Camphersdrift	6529	George	za	-1230653	3.0	ZAR	430	1560		4	22.4604935	-33.9494345	31851	http://www.booking.com/hotel/za/aziza-guest-house.html	http://aff.bstatic.com/images/hotel/org/147/1471669.jpg	Located in an up-market suburb George, boasting the Outeniqua mountains as a backdrop, this small guest house provides guests with a peaceful retreat at the heart of the Garden Route.										george	George	5	\

15156	Sweet Ocean View Guesthouse	9 Barkly Road, Sea Point	8005	Cape Town	za	-1217214	4.0	ZAR	710	3290		4	18.3916336297989	-33.9187375081007	82609	http://www.booking.com/hotel/za/sweet-ocean-view-guesthouse.html	http://aff.bstatic.com/images/hotel/org/660/660098.jpg	This gorgeous Cape Town mansion was recently renovated by its owners to create comfortable accommodation with state-of-the-art interior design.  On the 50 m² roof terrace you can enjoy sunbathing over the roofs of Sea Point.	Cette superbe demeure du Cap a été récemment rénovée par ses propriétaires afin de vous fournir des chambres confortables au design intérieur dernier cri.	Los propietarios de esta hermosa mansión en Ciudad del Cabo la han reformado recientemente para crear un alojamiento realmente cómodo con un diseño interior moderno.	Diese wunderschöne Villa wurde kürzlich renoviert und bietet Ihnen eine komfortable Unterkunft mit modernem Design.  Auf der 50 m² großen Dachterrasse genießen Sie die Sonne über den Dächern von Sea Point.					Sweet Ocean View Guesthouse是位于开普敦的一幢辉煌庄园建筑，由酒店业主最新装修并且提供舒适的住宿以及最先进的内部设计。  在50平方米的屋顶露台，您可以沐浴阳光并且欣赏Sea Point上方的风景。在室外淋浴的温水中放松，或是在享受按摩浴缸的同时欣赏注视您的奇妙狮头。  您可以在低一些的露台观看全套欧陆式早餐的制作过程。酒店根据要求提供个人司机前往酒店接送客人。		cape-town	Cape Town	5	\

171381	Woodall Country House and Spa	Jan Smuts Ave	6105	Addo, Eastern Cape	za	-1206217	5.0	ZAR	750	3200		11	25.6809389591217	-33.5000443290509	26695	http://www.booking.com/hotel/za/woodall-country-house-and-spa.html	http://aff.bstatic.com/images/hotel/org/202/2026864.jpg	Woodall Country House & Spa is a 5-star property offering luxury accommodation and gourmet cuisine in a peaceful location.  The guesthouse is close to Addo Elephant Park and Shamwari Game Reserve.			Dieses 5-Sterne-Hotel bietet luxuriöse Unterkünfte und eine Gourmet-Küche in ruhiger Lage. Das Woodall Country House & Spa befindet sich in der Nähe vom Addo Elephant Park und dem Shamwari Game Reserve.	Het Woodall Country House and Spa is een vijfsterrenhotel met luxe accommodatie en exclusieve maaltijden op een vredige locatie. Het pension ligt dicht bij het Addo Elephant Park en het wildreservaat Shamwari.						addo	Addo	5	\

15502	Die Ou Pastorie Boutique Country Hotel	41 Lourens Street 	7130	Somerset West	za	-1285082	4.0	ZAR	850	1500		16	18.8473463058472	-34.0881905547379	43041	http://www.booking.com/hotel/za/die-ou-pastorie-boutique-country.html	http://aff.bstatic.com/images/hotel/org/921/921074.jpg	Located 20 minutes from Cape Town International Airport, with famous Atlantic Ocean beaches nearby and neighboring the world-renowned wine regions of Stellenbosch, Paarl and Franschhoek, Die Ou Pastorie is an ideal central point.				Die Ou Patrorie is een ideaal centraal punt, op twintig minuten van het internationale vliegveld van Kaapstad, met vlakbij de beroemde stranden aan de Atlantische oceaan en naast de wereldberoemde wijnstreken van Stellenbosch, Paarl en Franschhoek.						somerset-west	Somerset West	5	\

